Node Number	X Location (m)	Y Location (m)	Z Location (m)	Temperature (°„C)
18169	4.503e-002	-9.2308e-004	-1.1885	39.824
18170	4.503e-002	-1.8462e-003	-1.1885	39.824
18171	4.503e-002	-2.7692e-003	-1.1885	39.824
18172	4.503e-002	-3.6923e-003	-1.1885	39.824
18173	4.503e-002	-4.6154e-003	-1.1885	39.824
18174	4.503e-002	-5.5385e-003	-1.1885	39.824
18175	4.503e-002	-6.4615e-003	-1.1885	39.824
18176	4.503e-002	-7.3846e-003	-1.1885	39.824
18177	4.503e-002	-8.3077e-003	-1.1885	39.824
18178	4.503e-002	-9.2308e-003	-1.1885	39.824
18179	4.503e-002	-1.0154e-002	-1.1885	39.824
18180	4.503e-002	-1.1077e-002	-1.1885	39.824
18181	4.5389e-002	-9.2308e-004	-1.1888	39.899
18182	4.5389e-002	-1.8462e-003	-1.1888	39.899
18183	4.5389e-002	-2.7692e-003	-1.1888	39.899
18184	4.5389e-002	-3.6923e-003	-1.1888	39.899
18185	4.5389e-002	-4.6154e-003	-1.1888	39.899
18186	4.5389e-002	-5.5385e-003	-1.1888	39.899
18187	4.5389e-002	-6.4615e-003	-1.1888	39.899
18188	4.5389e-002	-7.3846e-003	-1.1888	39.899
18189	4.5389e-002	-8.3077e-003	-1.1888	39.899
18190	4.5389e-002	-9.2308e-003	-1.1888	39.899
18191	4.5389e-002	-1.0154e-002	-1.1888	39.899
18192	4.5389e-002	-1.1077e-002	-1.1888	39.899
18193	4.5455e-002	-9.2308e-004	-1.171	67.685
18194	4.5455e-002	-1.8462e-003	-1.171	67.685
18195	4.5455e-002	-2.7692e-003	-1.171	67.685
18196	4.5455e-002	-3.6923e-003	-1.171	67.685
18197	4.5455e-002	-4.6154e-003	-1.171	67.685
18198	4.5455e-002	-5.5385e-003	-1.171	67.685
18199	4.5455e-002	-6.4615e-003	-1.171	67.685
18200	4.5455e-002	-7.3846e-003	-1.171	67.685
18201	4.5455e-002	-8.3077e-003	-1.171	67.685
18202	4.5455e-002	-9.2308e-003	-1.171	67.685
18203	4.5455e-002	-1.0154e-002	-1.171	67.685
18204	4.5455e-002	-1.1077e-002	-1.171	67.685
18205	4.5875e-002	-9.2308e-004	-1.1705	69.828
18206	4.5875e-002	-1.8462e-003	-1.1705	69.828
18207	4.5875e-002	-2.7692e-003	-1.1705	69.828
18208	4.5875e-002	-3.6923e-003	-1.1705	69.828
18209	4.5875e-002	-4.6154e-003	-1.1705	69.828
18210	4.5875e-002	-5.5385e-003	-1.1705	69.828
18211	4.5875e-002	-6.4615e-003	-1.1705	69.828
18212	4.5875e-002	-7.3846e-003	-1.1705	69.828
18213	4.5875e-002	-8.3077e-003	-1.1705	69.828
18214	4.5875e-002	-9.2308e-003	-1.1705	69.828
